FID,GlobalID,DESCRIPTIO,LUC_CODE,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
231,{964BA796-6494-4564-93E7-C09FAEF18747},DECOMISSIONED LANDFILL DIRECT CONTROL DISTRICT,DC-27(Z)86,34315.085383,741.316436706,86820.0546875,1179.20138312376
232,{3665564E-FADC-4E79-BA8E-C21B30E1DFA8},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,42843.1341284,1103.96770602,108430.328125,1756.45167833889
233,{70028625-2E60-4BC6-97DA-C2DA358CC155},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,50788.5828228,1392.53202201,128486.546875,2215.6527449281
234,{5C4587B7-4C3A-4452-A153-C3841BBFFC63},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,2853.29948799,245.928578352,7225.140625,391.178306726774
235,{AE67AB71-A2E4-417F-8376-C487F3A0972D},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,36214.6963926,990.544474702,91519.28125,1573.92175178523
236,{4334A6CF-C37B-48D3-A10B-C50E1DEC602D},PUBLIC USE DISTRICT,PD,401.43426729,145.960670002,1015.4140625,232.040913982954
237,{9FEDB7B5-E652-4FB2-B668-C54C60AA6C19},PUBLIC USE DISTRICT,PD,7976.72531605,593.346477151,20187.9609375,943.395562957044
238,{6ECC312C-D184-4653-B15D-C5FA9AEA8331},GATEWAY COMMERCIAL DISTRICT WITH AUTOMOTIVE USES,GD-2,12300.3147643,617.933388305,31137.75,983.390174235215
239,{DCAE52B5-981C-4024-9F50-C633F79EF340},LAWRENCE GRASSI MIDDLE SCHOOL DIRECT CONTROL DISTRICT,DC,17766.5961029,753.782380572,44962.8125,1198.82200594928
240,{0FAE4C07-119A-4768-928E-C6D1F53CCAD0},PUBLIC USE DISTRICT,PD,24094.9846697,903.379352132,60987.578125,1436.99126739704
241,{17E604E7-892B-4123-A072-C70547D2A18B},CONSERVATION OF WILDLANDS DISTRICT,CW,48287772.3813,113671.036722,122069633.929688,180745.603092036
242,{C8672F7D-47AF-49FC-949F-C72E96E6CA6F},OLD DAYCARE LANDS DIRECT CONTROL DISTRICT,DC-2016-32,13904.453052,644.047235672,35200.71875,1024.42947291345
243,{F1C9CD57-D1AD-4D00-9251-C775E44B1BC5},VISITOR INFORMATION CENTRE DISTRICT,VIC,220462.531056,2155.08251165,558424.90625,3430.86793965678
244,{B5179233-2A7F-446A-B859-C81BD2BF22DE},PUBLIC USE DISTRICT,PD,1737.18699863,199.87439731,4390.8515625,317.838863112634
245,{9A0A411C-664D-49F2-B18D-C8D90561122B},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,49832.5754816,919.017439086,126199.28125,1462.75357471259
246,{A71C2581-4D9B-4179-9509-C909B3ED4F07},PUBLIC USE DISTRICT,PD,3207.93492222,890.855852889,8116.78125,1416.38923543235
247,{16DF30A6-6321-4015-9DAD-CA78FDB838B8},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,29777.584739,756.598560343,75270.9765625,1203.42865449621
248,{4679199F-4320-4BFC-A4A5-CC703A79989D},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS DISTRICT,R1B,418.420417288,85.8436184851,1057.4609375,136.457492583323
249,{F54A8DED-47D4-4B32-B28D-CD3D147D3CD3},THREE SISTERS RESORTS DIRECT CONTROL DISTRICT SITE 8,DC-1(Z)98 Site 8,115403.97555,1342.40184638,291516.21875,2134.06273143394
250,{826422D5-7D3E-4092-84A7-CD96B9AC4BCA},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,38384.326782,1176.72744953,97180.484375,1873.47597405781
251,{141ABB90-AE4E-46A7-8AFD-CEB58D4D25B5},BOW VALLEY TRAIL GENERAL DISTRICT,BVT-G,300041.803022,3353.23938271,759312.25,5335.02552835217
252,{624828A5-BE92-4554-8161-CF5597CB78C6},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,34635.3699566,1623.04247128,87659.0859375,2584.00541928526
253,{A45D4E8E-D6BC-4E1A-AF55-CF8B8A37FC3B},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,34467.532395,803.393668783,87140.2421875,1277.0417915838
254,{C0EF4295-D99E-4373-80ED-D291C098054D},PUBLIC USE DISTRICT,PD,69301.0057661,1506.15828805,175347.4453125,2394.52629937296
255,{920B43E1-E6C5-48A3-9DF8-D2CAA4029ECC},RESIDENTIAL COMPREHENSIVE MULTI UNIT STEWART CREEK DISTRICT,R3-SC1,29044.1360366,772.104305487,73394.34375,1227.00576325499
256,{B0CF03A3-8DAC-4267-9455-D2EE18F93524},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,46783.9991937,1245.60149736,118397.4375,1981.93063037413
257,{0E233359-41C7-4CA0-A82A-D36F2D725000},ARMSTRONG PLACE COMPREHENSIVE SINGLE FAMILY RESIDENTIAL DIRECT CONTROL DISTRICT,DC-28(Z)2004,15040.8774553,606.646694454,38007.5390625,964.444505109169
